date,region,latitude,longitude,temp_avg_c,temp_avg_f,hdd,cdd,hdd_7,cdd_7,hdd_14,cdd_14,hdd_30,cdd_30
2022-01-08,San_Antonio_TX,29.424349,-98.491142,11.45,52.61,12.39,0.0,18.528,0.0,9.264,1.2968571428571423,7.8298000000000005,1.4362
2022-01-09,San_Antonio_TX,29.424349,-98.491142,12.25,54.05,10.950000000000003,0.0,16.198285714285714,0.0,10.046142857142858,1.2239999999999998,8.1948,1.2234
2022-01-10,San_Antonio_TX,29.424349,-98.491142,8.28,46.903999999999996,18.096000000000004,0.0,15.347142857142858,0.0,11.338714285714287,1.1099999999999994,8.423399999999999,1.2234
2022-01-11,San_Antonio_TX,29.424349,-98.491142,7.58,45.644,19.356,0.0,15.56057142857143,0.0,12.721285714285715,0.9419999999999992,8.4852,1.2234
2022-01-12,San_Antonio_TX,29.424349,-98.491142,10.42,50.756,14.244,0.0,16.391142857142857,0.0,13.738714285714286,0.7328571428571422,8.6856,1.2234
2022-01-13,San_Antonio_TX,29.424349,-98.491142,13.89,57.002,7.9979999999999976,0.0,15.336857142857143,0.0,14.31,0.5519999999999996,8.952200000000001,1.2073999999999998
2022-01-14,San_Antonio_TX,29.424349,-98.491142,14.4,57.92,7.079999999999998,0.0,12.873428571428573,0.0,14.815714285714288,0.2117142857142856,9.1882,1.0233999999999999
2022-01-15,San_Antonio_TX,29.424349,-98.491142,8.38,47.084,17.915999999999997,0.0,13.662857142857145,0.0,16.095428571428574,0.0,9.785400000000001,0.8238
2022-01-16,San_Antonio_TX,29.424349,-98.491142,7.42,45.356,19.644,0.0,14.904857142857141,0.0,15.551571428571426,0.0,10.4402,0.6535999999999996
2022-01-17,San_Antonio_TX,29.424349,-98.491142,10.08,50.144,14.856000000000002,0.0,14.441999999999998,0.0,14.894571428571428,0.0,10.7672,0.6535999999999996
2022-01-18,San_Antonio_TX,29.424349,-98.491142,12.72,54.896,10.104,0.0,13.120285714285712,0.0,14.340428571428571,0.0,10.5026,0.6535999999999996
2022-01-19,San_Antonio_TX,29.424349,-98.491142,16.59,61.862,3.137999999999998,0.0,11.533714285714284,0.0,13.962428571428571,0.0,10.061000000000002,0.6535999999999996
2022-01-20,San_Antonio_TX,29.424349,-98.491142,2.75,36.95,28.049999999999997,0.0,14.398285714285715,0.0,14.867571428571429,0.0,10.523,0.6535999999999996
2022-01-21,San_Antonio_TX,29.424349,-98.491142,3.3,37.94,27.060000000000002,0.0,17.25257142857143,0.0,15.063,0.0,11.1254,0.6535999999999996
2022-01-22,San_Antonio_TX,29.424349,-98.491142,5.64,42.152,22.848,0.0,17.95714285714286,0.0,15.81,0.0,11.7218,0.6535999999999996
2022-01-23,San_Antonio_TX,29.424349,-98.491142,9.87,49.766,15.234000000000002,0.0,17.327142857142857,0.0,16.116,0.0,12.209,0.6535999999999996
2022-01-24,San_Antonio_TX,29.424349,-98.491142,9.34,48.812,16.188000000000002,0.0,17.517428571428574,0.0,15.979714285714284,0.0,12.748600000000001,0.6051999999999997
2022-01-25,San_Antonio_TX,29.424349,-98.491142,9.92,49.856,15.143999999999998,0.0,18.23742857142857,0.0,15.678857142857142,0.0,13.253400000000001,0.5711999999999998
2022-01-26,San_Antonio_TX,29.424349,-98.491142,9.76,49.568,15.432000000000002,0.0,19.993714285714287,0.0,15.763714285714286,0.0,13.7678,0.5179999999999997
2022-01-27,San_Antonio_TX,29.424349,-98.491142,11.08,51.944,13.055999999999997,0.0,17.851714285714287,0.0,16.125,0.0,14.203000000000001,0.4395999999999996
