region,week,hdd_weekly_sum,cdd_weekly_sum,hdd_7day_avg,cdd_7day_avg,hdd_14day_avg,cdd_14day_avg,hdd_30day_avg,cdd_30day_avg,temp_avg_f,temp_avg_c,latitude,longitude
San_Antonio_TX,2021-06-28,0.0,112.44000000000003,0.0,16.414040816326533,0.0,17.264632653061224,0.0,15.498685714285715,81.06285714285715,27.25714285714286,29.424349,-98.491142
San_Antonio_TX,2021-07-05,0.0,97.66199999999999,0.0,15.315306122448979,0.0,15.864673469387755,0.0,16.5366,78.95171428571429,26.084285714285716,29.424349,-98.491142
San_Antonio_TX,2021-07-12,0.0,101.982,0.0,13.964204081632653,0.0,14.639755102040814,0.0,16.043400000000002,79.56885714285714,26.427142857142858,29.424349,-98.491142
San_Antonio_TX,2021-07-19,0.0,113.28599999999999,0.0,15.948244897959183,0.0,14.956224489795916,0.0,15.626742857142858,81.18371428571427,27.32428571428571,29.424349,-98.491142
San_Antonio_TX,2021-07-26,0.0,123.024,0.0,16.63334693877551,0.0,16.290795918367344,0.0,15.505028571428571,82.57485714285714,28.09714285714286,29.424349,-98.491142
San_Antonio_TX,2021-08-02,0.0,110.71200000000002,0.0,16.56061224489796,0.0,16.596979591836735,0.0,15.656314285714286,80.816,27.12,29.424349,-98.491142
San_Antonio_TX,2021-08-09,0.0,125.004,0.0,17.40734693877551,0.0,16.983979591836736,0.0,16.493057142857143,82.8577142857143,28.254285714285714,29.424349,-98.491142
San_Antonio_TX,2021-08-16,0.0,130.76399999999998,0.0,17.9954693877551,0.0,17.701408163265306,0.0,17.084057142857144,83.68057142857143,28.71142857142857,29.424349,-98.491142
San_Antonio_TX,2021-08-23,0.0,131.052,0.0,19.26795918367347,0.0,18.631714285714285,0.0,17.77842857142857,83.72171428571428,28.73428571428571,29.424349,-98.491142
San_Antonio_TX,2021-08-30,0.0,147.234,0.0,19.599673469387756,0.0,19.43381632653061,0.0,18.391114285714284,86.03342857142857,30.018571428571427,29.424349,-98.491142
San_Antonio_TX,2021-09-06,0.0,120.25200000000001,0.0,19.321591836734694,0.0,19.460632653061225,0.0,18.975771428571427,82.17885714285714,27.877142857142854,29.424349,-98.491142
San_Antonio_TX,2021-09-13,0.0,131.71800000000002,0.0,16.942285714285713,0.0,18.131938775510207,0.0,18.762514285714285,83.81685714285713,28.787142857142857,29.424349,-98.491142
San_Antonio_TX,2021-09-20,0.0,96.11400000000002,0.0,17.862857142857145,0.0,17.40257142857143,0.0,18.461485714285715,78.73057142857144,25.96142857142857,29.424349,-98.491142
San_Antonio_TX,2021-09-27,0.0,93.684,0.0,12.66195918367347,0.0,15.262408163265308,0.0,16.96354285714286,78.38342857142857,25.768571428571427,29.424349,-98.491142
San_Antonio_TX,2021-10-04,0.0,70.73400000000002,0.0,10.925510204081634,0.0,11.793734693877553,0.0,14.802942857142858,75.10485714285714,23.947142857142858,29.424349,-98.491142
San_Antonio_TX,2021-10-11,6.923999999999992,60.306,0.18661224489795902,10.76057142857143,0.09330612244897951,10.843040816326532,0.043542857142857105,13.404085714285715,72.626,22.57,29.424349,-98.491142
San_Antonio_TX,2021-10-18,1.7879999999999967,49.5,1.057959183673468,5.567387755102041,0.6222857142857136,8.163979591836735,0.29039999999999966,10.281000000000002,71.816,22.12,29.424349,-98.491142
San_Antonio_TX,2021-10-25,7.001999999999995,30.791999999999987,0.4441224489795917,7.878367346938774,0.7510408163265299,6.7228775510204075,0.39402857142857106,9.081428571428573,68.39857142857143,20.22142857142857,29.424349,-98.491142
San_Antonio_TX,2021-11-01,44.364000000000004,5.010000000000005,3.223836734693877,1.116979591836735,1.8339795918367343,4.497673469387754,1.1462571428571426,6.570857142857143,59.378,15.209999999999999,29.424349,-98.491142
San_Antonio_TX,2021-11-08,18.468000000000004,4.116,4.688571428571429,0.49885714285714294,3.956204081632653,0.8079183673469389,2.2402571428571423,4.160771428571429,62.949714285714286,17.194285714285716,29.424349,-98.491142
San_Antonio_TX,2021-11-15,23.939999999999998,8.417999999999992,3.1791428571428573,1.0186530612244893,3.933857142857143,0.7587551020408162,2.7310857142857143,2.8695999999999993,62.78257142857143,17.101428571428574,29.424349,-98.491142
San_Antonio_TX,2021-11-22,59.13000000000001,0.9120000000000061,5.941346938775511,0.44497959183673474,4.560244897959184,0.7318163265306119,4.041028571428572,1.0650285714285712,56.683142857142855,13.712857142857144,29.424349,-98.491142
