Power Futures Historical Data
From ERCOT Hub Average Settlement Prices
Date,Close,High,Low,Open,Volume
2024-02-09,18.292083333333334,62.31,2.24,5.9,
2024-02-10,16.165104166666666,38.77,-2.62,22.9,
2024-02-11,9.112708333333332,32.12,-4.49,-0.65,
2024-02-12,14.236458333333333,82.83,0.0,6.23,
2024-02-13,17.197708333333335,343.33,0.0,22.44,
2024-02-14,8.406458333333333,54.06,0.0,3.35,
2024-02-15,11.448541666666666,21.49,5.02,11.45,
2024-02-16,10.4671875,73.39,3.7,7.91,
2024-02-17,11.60875,55.9,-0.45,10.18,
2024-02-18,20.2575,77.84,0.07,25.63,
2024-02-19,22.808020833333334,259.69,3.26,6.34,
2024-02-20,6.924791666666667,32.25,-3.38,5.93,
2024-02-21,6.964479166666667,38.81,-6.76,-3.01,
2024-02-22,19.2075,266.6,3.73,14.68,
2024-02-23,17.99833333333333,82.64,1.49,10.3,
2024-02-24,8.9140625,51.97,-12.29,29.87,
2024-02-25,13.100625,80.32,-14.25,1.32,
2024-02-26,12.957187500000002,53.61,2.85,8.9,
2024-02-27,15.9378125,121.97,6.19,24.38,
2024-02-28,20.265833333333333,107.79,-27.99,7.03,
2024-02-29,27.132395833333334,87.25,11.36,21.54,
2024-03-01,8.852291666666668,29.51,0.0,10.3,
2024-03-02,10.954479166666667,31.34,4.04,10.74,
2024-03-03,12.067916666666667,148.49,-1.64,7.96,
2024-03-04,69.97104166666666,944.62,5.35,8.94,
2024-03-05,24.700208333333332,94.32,4.21,21.21,
2024-03-06,27.579166666666666,75.25,14.89,23.26,
2024-03-07,44.583333333333336,291.08,14.53,33.74,
2024-03-08,15.670520833333333,68.27,0.86,68.27,
2024-03-09,18.017916666666668,81.18,-1.1,16.87,
2024-03-10,21.313260869565216,60.62,0.01,58.45,
2024-03-11,7.187916666666666,43.28,-1.02,13.18,
2024-03-12,6.581041666666667,56.33,-26.37,0.97,
2024-03-13,11.716041666666667,56.15,-1.59,7.41,
2024-03-14,22.5546875,58.01,10.91,25.19,
2024-03-15,12.963958333333332,57.77,4.2,25.89,
2024-03-16,41.56552083333333,136.8,19.16,24.49,
